customer_ID,sex,registration_date,first_rent_date,customer_age
1,female,01.09.20 00:14,01.09.20 01:47,34
2,male,31.08.20 21:13,31.08.20 23:50,28
3,male,31.08.20 20:53,31.08.20 23:06,23
4,female,31.08.20 20:50,31.08.20 23:45,24
5,female,31.08.20 20:45,31.08.20 23:33,28
6,male,31.08.20 19:56,31.08.20 21:00,19
7,male,31.08.20 19:03,31.08.20 20:57,19
8,male,31.08.20 17:34,31.08.20 18:43,37
9,female,31.08.20 17:18,31.08.20 20:08,38
10,female,31.08.20 16:31,31.08.20 22:16,42
11,male,31.08.20 16:13,31.08.20 19:16,39
12,male,31.08.20 12:48,31.08.20 13:10,21
13,male,31.08.20 12:17,31.08.20 13:21,26
14,female,31.08.20 11:03,31.08.20 12:18,23
15,male,31.08.20 10:32,31.08.20 19:06,29
16,male,31.08.20 10:17,31.08.20 20:53,40
17,male,31.08.20 01:26,31.08.20 08:00,39
18,male,30.08.20 22:28,31.08.20 09:26,33
19,female,30.08.20 20:09,30.08.20 20:57,30
20,female,30.08.20 20:06,30.08.20 20:30,28
21,female,30.08.20 19:56,31.08.20 13:26,33
22,male,30.08.20 18:21,01.09.20 00:38,28
23,male,30.08.20 18:20,30.08.20 20:20,41
24,male,30.08.20 16:52,30.08.20 18:22,22
25,male,30.08.20 15:27,30.08.20 18:01,26
26,male,30.08.20 15:08,30.08.20 18:26,60
27,female,30.08.20 14:40,30.08.20 20:45,53
28,male,30.08.20 14:25,30.08.20 23:15,41
29,female,30.08.20 13:44,31.08.20 14:30,28
30,female,30.08.20 13:00,30.08.20 21:25,56
31,female,30.08.20 12:54,30.08.20 17:27,30
32,male,30.08.20 12:41,30.08.20 16:12,27
33,male,30.08.20 12:34,30.08.20 21:38,23
34,female,30.08.20 12:31,30.08.20 19:56,37
35,male,30.08.20 12:31,30.08.20 20:24,32
36,female,30.08.20 12:08,30.08.20 16:02,30
37,male,30.08.20 11:59,30.08.20 13:53,30
38,female,30.08.20 11:54,30.08.20 12:26,24
39,female,30.08.20 11:27,31.08.20 09:04,32
40,female,30.08.20 11:04,30.08.20 18:16,23
41,male,30.08.20 10:45,30.08.20 11:59,33
42,female,30.08.20 10:37,31.08.20 20:59,28
43,male,30.08.20 10:05,31.08.20 09:45,52
44,female,30.08.20 09:36,30.08.20 11:25,62
45,male,30.08.20 09:30,30.08.20 13:07,32
46,male,30.08.20 02:28,31.08.20 00:18,31
47,male,30.08.20 01:53,30.08.20 03:43,27
48,female,29.08.20 22:23,29.08.20 23:13,27
49,male,29.08.20 22:00,30.08.20 21:35,21
50,female,29.08.20 21:19,29.08.20 22:16,23
51,male,29.08.20 21:15,30.08.20 12:45,65
52,male,29.08.20 20:04,29.08.20 21:27,30
53,female,29.08.20 19:44,30.08.20 21:02,60
54,male,29.08.20 19:32,30.08.20 04:37,25
55,female,29.08.20 19:15,29.08.20 21:42,21
56,male,29.08.20 19:02,30.08.20 22:24,22
57,male,29.08.20 18:53,29.08.20 22:41,30
58,male,29.08.20 18:15,29.08.20 21:04,32
59,male,29.08.20 18:11,30.08.20 08:12,26
60,male,29.08.20 17:48,31.08.20 02:24,29
61,male,29.08.20 17:18,29.08.20 20:51,29
62,female,29.08.20 17:01,30.08.20 13:46,30
63,male,29.08.20 16:57,30.08.20 16:27,32
64,male,29.08.20 16:41,29.08.20 23:56,30
65,male,29.08.20 16:32,29.08.20 19:58,20
66,male,29.08.20 16:13,29.08.20 17:30,33
67,female,29.08.20 15:41,29.08.20 20:27,27
68,male,29.08.20 15:25,29.08.20 15:58,33
69,male,29.08.20 14:21,29.08.20 17:17,35
70,male,29.08.20 14:09,29.08.20 18:57,58
71,male,29.08.20 13:59,29.08.20 14:52,36
72,male,29.08.20 13:42,29.08.20 20:08,21
73,female,29.08.20 13:35,30.08.20 18:12,24
74,female,29.08.20 12:42,29.08.20 14:00,25
75,female,29.08.20 12:02,31.08.20 09:41,31
76,male,29.08.20 10:48,29.08.20 21:55,32
77,female,29.08.20 10:42,29.08.20 11:45,28
78,female,29.08.20 01:24,29.08.20 01:59,27
79,male,29.08.20 00:49,29.08.20 15:11,32
80,male,28.08.20 23:38,30.08.20 14:14,30
81,male,28.08.20 23:37,29.08.20 11:14,47
82,male,28.08.20 22:22,28.08.20 23:07,23
83,male,28.08.20 20:41,30.08.20 01:22,25
84,female,28.08.20 20:34,29.08.20 08:51,37
85,male,28.08.20 18:23,29.08.20 23:47,26
86,male,28.08.20 17:30,31.08.20 13:32,26
87,male,28.08.20 17:23,28.08.20 19:25,23
88,male,28.08.20 17:14,29.08.20 13:27,29
89,female,28.08.20 17:01,29.08.20 18:20,25
90,male,28.08.20 16:45,30.08.20 20:05,31
91,female,28.08.20 16:31,28.08.20 20:33,63
92,male,28.08.20 16:09,28.08.20 20:23,19
93,male,28.08.20 15:10,28.08.20 17:54,24
94,male,28.08.20 14:31,29.08.20 00:59,24
95,male,28.08.20 13:56,28.08.20 23:42,26
96,male,28.08.20 13:40,28.08.20 16:20,30
97,female,28.08.20 12:26,28.08.20 13:31,39
98,female,28.08.20 10:36,28.08.20 17:59,34
99,female,28.08.20 09:06,28.08.20 19:53,41
100,male,28.08.20 06:18,28.08.20 17:22,32
101,male,28.08.20 01:04,28.08.20 15:34,28
102,male,28.08.20 00:04,28.08.20 00:37,36
103,male,27.08.20 22:01,27.08.20 23:41,21
104,male,27.08.20 21:54,27.08.20 22:47,20
105,male,27.08.20 20:38,27.08.20 20:58,26
106,male,27.08.20 20:33,28.08.20 00:26,23
107,male,27.08.20 20:22,28.08.20 15:37,25
108,female,27.08.20 20:11,28.08.20 18:29,30
109,male,27.08.20 19:14,30.08.20 11:49,36
110,male,27.08.20 18:53,27.08.20 19:40,40
111,male,27.08.20 18:02,28.08.20 17:25,22
112,male,27.08.20 17:55,29.08.20 13:58,28
113,male,27.08.20 17:37,29.08.20 22:10,32
114,male,27.08.20 17:20,28.08.20 20:15,30
115,female,27.08.20 16:49,27.08.20 17:31,27
116,female,27.08.20 16:45,28.08.20 08:00,30
117,female,27.08.20 16:25,27.08.20 20:31,47
118,female,27.08.20 16:24,28.08.20 01:41,25
119,male,27.08.20 16:20,29.08.20 13:14,29
120,male,27.08.20 16:16,30.08.20 13:19,20
121,male,27.08.20 15:20,27.08.20 15:49,63
122,male,27.08.20 15:19,27.08.20 23:50,30
123,male,27.08.20 14:57,27.08.20 19:36,24
124,male,27.08.20 13:30,27.08.20 17:53,24
125,female,27.08.20 12:51,27.08.20 20:32,53
126,male,27.08.20 12:25,29.08.20 14:20,22
127,male,27.08.20 11:40,27.08.20 14:36,46
128,male,27.08.20 10:21,27.08.20 14:06,54
129,female,27.08.20 08:07,28.08.20 15:27,37
130,male,27.08.20 03:50,28.08.20 14:04,49
131,female,27.08.20 00:48,27.08.20 14:34,20
